,quartervalue,avgkw
245,7/24/2018 21:30,161.37184
246,7/24/2018 21:45,160.36952
247,7/24/2018 22:00,160.65158
248,7/24/2018 22:15,159.63313
249,7/24/2018 22:30,159.41191
250,7/24/2018 22:45,158.68141
251,7/24/2018 23:00,161.17117
252,7/24/2018 23:15,158.46147
253,7/24/2018 23:30,158.91307
254,7/24/2018 23:45,154.72987
255,7/25/2018 0:00,154.93118
256,7/25/2018 0:15,155.31471
257,7/25/2018 0:30,158.16878
258,7/25/2018 0:45,158.5371
259,7/25/2018 1:00,159.9452
260,7/25/2018 1:15,158.40544
261,7/25/2018 1:30,158.3115
262,7/25/2018 1:45,157.64627
263,7/25/2018 2:00,160.50285
264,7/25/2018 2:15,160.77744
265,7/25/2018 2:30,158.95642
266,7/25/2018 2:45,157.39673
267,7/25/2018 3:00,155.76738
268,7/25/2018 3:15,159.6061
269,7/25/2018 3:30,158.18185
270,7/25/2018 3:45,159.44405
271,7/25/2018 4:00,158.21057
272,7/25/2018 4:15,158.62862
273,7/25/2018 4:30,155.46193
274,7/25/2018 4:45,156.14674
275,7/25/2018 5:00,156.9934
276,7/25/2018 5:15,158.63023
277,7/25/2018 5:30,156.6092
278,7/25/2018 5:45,155.15953
279,7/25/2018 6:00,158.65164
280,7/25/2018 6:15,158.56284
281,7/25/2018 6:30,155.32382
282,7/25/2018 6:45,155.19415
283,8/3/2018 7:00,158.16426
284,8/3/2018 7:15,160.66136
285,8/3/2018 7:30,158.28964
286,8/3/2018 7:45,158.10806
287,8/3/2018 8:00,159.14383
288,8/3/2018 8:15,159.92828
289,8/3/2018 8:30,158.8109
290,8/3/2018 8:45,158.45464
291,8/3/2018 9:00,160.89613
292,8/3/2018 9:15,158.83734
293,8/3/2018 9:30,154.9472
294,8/3/2018 9:45,159.68413
295,8/3/2018 10:00,158.07951
296,8/3/2018 10:15,157.82149
297,8/3/2018 10:30,155.55775
298,8/3/2018 10:45,156.88701
299,8/3/2018 11:00,156.12247
300,8/3/2018 11:15,157.77702
301,8/3/2018 11:30,157.9593
302,8/3/2018 11:45,158.9534
303,8/3/2018 12:00,159.89012
304,8/3/2018 12:15,158.04686
305,8/3/2018 12:30,155.82755
306,8/3/2018 12:45,157.90283
307,8/3/2018 13:00,156.35405
308,8/3/2018 13:15,158.31056
309,8/3/2018 13:30,155.00706
310,8/3/2018 13:45,155.24585
311,8/3/2018 14:00,155.32693
312,8/3/2018 14:15,155.43504
313,8/3/2018 14:30,154.81447
314,8/3/2018 14:45,153.26584
315,8/3/2018 15:00,152.64746
316,8/3/2018 15:15,157.13675
317,8/3/2018 15:30,157.54643
318,8/3/2018 15:45,158.11981
319,8/3/2018 16:00,158.10391
320,8/3/2018 16:15,155.97472
321,8/3/2018 16:30,156.10503
322,8/3/2018 16:45,158.54945
323,8/3/2018 17:00,157.98398
324,8/3/2018 17:15,158.12347
325,8/3/2018 17:30,161.42522
326,8/3/2018 17:45,160.92793
327,8/3/2018 18:00,157.65028
328,8/3/2018 18:15,156.65749
329,8/3/2018 18:30,156.48085
330,8/3/2018 18:45,158.63339
331,8/3/2018 19:00,157.4017
332,8/3/2018 19:15,156.99463
333,8/3/2018 19:30,158.95993
334,8/3/2018 19:45,156.85951
335,8/3/2018 20:00,157.74246
336,8/3/2018 20:15,156.07478
337,8/3/2018 20:30,156.64262
338,8/3/2018 20:45,156.87556
339,8/3/2018 21:00,156.4463
340,8/3/2018 21:15,154.70955
341,8/3/2018 21:30,157.42596
342,8/3/2018 21:45,161.89957
343,8/3/2018 22:00,158.48676
344,8/3/2018 22:15,156.34372
345,8/3/2018 22:30,160.31229
346,8/3/2018 22:45,156.98679
347,8/3/2018 23:00,156.11565
348,8/3/2018 23:15,158.56728
349,8/3/2018 23:30,158.69493
350,8/3/2018 23:45,158.35176
351,8/4/2018 0:00,160.0368
352,8/4/2018 0:15,156.28433
353,8/4/2018 0:30,156.58952
354,8/4/2018 0:45,157.93117
355,8/4/2018 1:00,158.70717
356,8/4/2018 1:15,162.27974
357,8/4/2018 1:30,161.209
358,8/4/2018 1:45,158.15819
359,8/4/2018 2:00,158.57135
360,8/4/2018 2:15,156.87628
361,8/4/2018 2:30,153.44159
362,8/4/2018 2:45,152.58965
363,8/4/2018 3:00,158.82939
364,8/4/2018 3:15,160.59235
365,8/4/2018 3:30,160.32837
366,8/4/2018 3:45,159.69191
367,8/4/2018 4:00,157.0802
368,8/4/2018 4:15,159.24104
369,8/4/2018 4:30,157.98567
370,8/4/2018 4:45,154.13962
371,8/4/2018 5:00,153.23491
372,7/10/2018 7:00,156.43283
373,7/10/2018 7:15,161.18271
374,7/10/2018 7:30,156.88329
375,7/10/2018 7:45,155.21703
376,7/10/2018 8:00,157.19363
377,7/10/2018 8:15,159.2401
378,7/10/2018 8:30,155.10556
379,7/10/2018 8:45,157.14742
380,7/10/2018 9:00,156.02113
381,7/10/2018 9:15,155.64523
382,7/10/2018 9:30,156.83241
383,7/10/2018 9:45,156.31801
384,7/10/2018 10:00,157.05885
385,7/10/2018 10:15,156.45844
386,7/10/2018 10:30,151.23006
387,7/10/2018 10:45,154.99554
388,7/10/2018 11:00,156.19014
389,7/10/2018 11:15,159.82549
390,7/10/2018 11:30,158.15343
391,7/10/2018 11:45,158.79411
392,7/10/2018 12:00,156.58531
393,7/10/2018 12:15,156.40005
394,7/10/2018 12:30,155.87723
395,7/10/2018 12:45,155.49257
396,7/10/2018 13:00,154.9147
397,7/10/2018 13:15,154.87363
398,7/10/2018 13:30,154.62993
399,7/10/2018 13:45,154.93637
400,7/10/2018 14:00,154.53142
401,7/10/2018 14:15,156.67926
402,7/10/2018 14:30,156.58875
403,7/10/2018 14:45,156.16315
404,7/10/2018 15:00,155.01141
405,7/10/2018 15:15,153.7641
406,7/10/2018 15:30,157.46097
407,7/10/2018 15:45,155.61197
408,7/10/2018 16:00,152.54189
409,7/10/2018 16:15,156.59169
410,7/10/2018 16:30,156.99014
411,7/10/2018 16:45,156.18376
412,7/10/2018 17:00,156.67375
413,7/10/2018 17:15,156.27205
414,7/10/2018 17:30,160.19908
415,7/10/2018 17:45,161.29282
416,7/10/2018 18:00,160.87115
417,7/10/2018 18:15,160.61554
418,7/10/2018 18:30,159.7707
419,7/10/2018 18:45,159.21301
420,7/10/2018 19:00,156.85547
421,7/10/2018 19:15,155.72534
422,7/10/2018 19:30,156.34215
423,7/10/2018 19:45,160.06644
424,7/10/2018 20:00,158.53998
425,7/10/2018 20:15,157.51028
426,7/10/2018 20:30,157.95348
427,7/10/2018 20:45,158.19023
428,7/10/2018 21:00,155.00386
429,7/10/2018 21:15,155.60886
430,7/10/2018 21:30,158.71097
431,7/10/2018 21:45,158.3809
432,7/10/2018 22:00,154.91055
433,7/10/2018 22:15,157.0743
434,7/10/2018 22:30,158.17851
435,7/10/2018 22:45,158.10457
436,7/10/2018 23:00,158.15967
437,7/10/2018 23:15,158.65053
438,7/10/2018 23:30,158.52548
439,7/10/2018 23:45,155.87025
440,7/11/2018 0:00,157.18883
441,7/11/2018 0:15,157.38235
442,7/11/2018 0:30,158.49237
443,7/11/2018 0:45,159.1186
444,7/11/2018 1:00,159.30426
445,7/11/2018 1:15,160.01154
446,7/11/2018 1:30,160.5624
447,7/11/2018 1:45,157.63362
448,7/11/2018 2:00,156.06444
449,7/11/2018 2:15,156.91754
450,7/11/2018 2:30,156.37613
451,7/11/2018 2:45,156.47755
452,7/11/2018 3:00,159.93163
453,7/11/2018 3:15,161.77655
454,7/11/2018 3:30,155.81508
455,7/11/2018 3:45,155.59268
456,7/11/2018 4:00,159.71255
457,7/11/2018 4:15,158.76501
458,7/11/2018 4:30,156.426
459,7/11/2018 4:45,152.67563
460,7/11/2018 5:00,157.66975
461,7/11/2018 5:15,161.20752
462,7/11/2018 5:30,158.29666
463,7/11/2018 5:45,155.11052
464,7/11/2018 6:00,155.51569
465,7/11/2018 6:15,202.13036
466,7/18/2018 7:00,154.41284
467,7/18/2018 7:15,161.44365
468,7/18/2018 7:30,158.63069
469,7/18/2018 7:45,159.20398
470,7/18/2018 8:00,160.21193
471,7/18/2018 8:15,157.80013
472,7/18/2018 8:30,158.03871
473,7/18/2018 8:45,156.94296
474,7/18/2018 9:00,158.15425
475,7/18/2018 9:15,157.83644
476,7/18/2018 9:30,155.52348
477,7/18/2018 9:45,157.06583
478,7/18/2018 10:00,157.60646
479,7/18/2018 10:15,156.3658
480,7/18/2018 10:30,154.6754
481,7/18/2018 10:45,154.52803
482,7/18/2018 11:00,157.50667
483,7/18/2018 11:15,160.28748
