avgkw,date
23250,6/19/2018 7:00
23150,6/19/2018 8:00
23257,6/19/2018 9:00
23342,6/19/2018 10:00
23408,6/19/2018 12:00
23306,6/19/2018 14:00
23406,6/19/2018 15:00
23488,6/19/2018 16:00
23340,6/19/2018 17:00
23319,6/19/2018 18:00
23157,6/19/2018 19:00
23072,6/19/2018 20:00
23336,6/19/2018 21:00
23589,6/19/2018 22:00
23546,6/19/2018 23:00
23436,6/20/2018 0:00
23361,6/20/2018 1:00
23097,6/20/2018 2:00
23264,6/20/2018 3:00
23101,6/20/2018 4:00
23179,6/20/2018 5:00
23164,6/20/2018 6:00
23249,6/20/2018 7:00
23219,6/20/2018 8:00
23389,6/20/2018 9:00
23510,6/20/2018 10:00
23384,6/20/2018 11:00
23410,6/20/2018 12:00
23363,6/20/2018 13:00
23420,6/20/2018 14:00
23356,6/20/2018 15:00
23427,6/20/2018 16:00
23479,6/20/2018 17:00
23184,6/20/2018 18:00
23225,6/20/2018 19:00
23207,6/20/2018 20:00
23289,6/20/2018 21:00
23246,6/20/2018 22:00
23506,6/20/2018 23:00
23412,6/21/2018 0:00
23232,6/21/2018 1:00
23122,6/21/2018 2:00
23141,6/21/2018 3:00
